Nr,Name
1,MOSTYPE
2,MAANTHUI
3,MGEMOMV
4,MGEMLEEF
5,MOSHOOFD
6,MGODRK
7,MGODPR
8,MGODOV
9,MGODGE
10,MRELGE
11,MRELSA
12,MRELOV
13,MFALLEEN
14,MFGEKIND
15,MFWEKIND
16,MOPLHOOG
17,MOPLMIDD
18,MOPLLAAG
19,MBERHOOG
20,MBERZELF
21,MBERBOER
22,MBERMIDD
23,MBERARBG
24,MBERARBO
25,MSKA
26,MSKB1
27,MSKB2
28,MSKC
29,MSKD
30,MHHUUR
31,MHKOOP
32,MAUT1
33,MAUT2
34,MAUT0
35,MZFONDS
36,MZPART
37,MINKM30
38,MINK3045
39,MINK4575
40,MINK7512
41,MINK123M
42,MINKGEM
43,MKOOPKLA
44,PWAPART
45,PWABEDR
46,PWALAND
47,PPERSAUT
48,PBESAUT
49,PMOTSCO
50,PVRAAUT
51,PAANHANG
52,PTRACTOR
53,PWERKT
54,PBROM
55,PLEVEN
56,PPERSONG
57,PGEZONG
58,PWAOREG
59,PBRAND
60,PZEILPL
61,PPLEZIER
62,PFIETS
63,PINBOED
64,PBYSTAND
65,AWAPART
66,AWABEDR
67,AWALAND
68,APERSAUT
69,ABESAUT
70,AMOTSCO
71,AVRAAUT
72,AAANHANG
73,ATRACTOR
74,AWERKT
75,ABROM
76,ALEVEN
77,APERSONG
78,AGEZONG
79,AWAOREG
80,ABRAND
81,AZEILPL
82,APLEZIER
83,AFIETS
84,AINBOED
85,ABYSTAND
86,CARAVAN
